Health_District,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Number_of_PCR_Testing_Encounters,Number_of_Positive_PCR_Testing_Encounters,Total_Number_of_Testing_Encounters,Total_Number_of_Positive_Testing_Encounters,Percentage
Arlington,0.01299999999999994,0.06900000000000035,0.11599999999999973,0.1299999999999998,0.6719999999999978,288.3649289099526,21.14218009478673,328.90521327014216,24.180094786729857,0.07331744596926618
Central Shenandoah,0.03399999999999987,0.06199999999999983,0.1389999999999996,0.21200000000000077,0.5529999999999983,298.65865384615387,22.004807692307693,313.3125,23.245192307692307,0.0736787881714718
Chesapeake,0.017999999999999912,0.14999999999999944,0.06799999999999974,0.125,0.638999999999999,292.5406698564593,26.598086124401913,305.622009569378,27.425837320574164,0.09092098591779657
Chesterfield,0.06400000000000004,0.07300000000000027,0.08399999999999973,0.2849999999999985,0.4959999999999986,449.7047619047619,39.39047619047619,489.0857142857143,42.43333333333333,0.08759185920921664
Fairfax,0.03099999999999991,0.12900000000000036,0.12900000000000036,0.18199999999999994,0.528000000000002,1191.7383177570093,114.72897196261682,1363.0934579439252,129.2710280373832,0.09627027196587096
Hampton,0.07099999999999983,0.08600000000000003,0.04900000000000002,0.24300000000000038,0.5510000000000012,126.13106796116504,9.888349514563107,130.5,10.199029126213592,0.07839741369356887
Henrico,0.01399999999999994,0.0020000000000000013,0.14499999999999963,0.15800000000000056,0.6809999999999997,506.52358490566036,38.0377358490566,540.4952830188679,40.4622641509434,0.07509568553681681
Norfolk,0.009999999999999997,0.03800000000000009,0.035000000000000094,0.14499999999999963,0.7719999999999999,323.74285714285713,28.21904761904762,334.46666666666664,28.866666666666667,0.08716500455976231
Peninsula,0.06300000000000018,0.08500000000000045,0.13200000000000048,0.15399999999999997,0.5660000000000017,372.68095238095236,24.757142857142856,396.2047619047619,26.404761904761905,0.06642985829830188
Portsmouth,0.004000000000000003,0.013999999999999941,0.07300000000000027,0.2190000000000007,0.6899999999999984,138.625,15.985576923076923,141.10096153846155,16.22596153846154,0.11531525282652424
Prince William,0.012000000000000009,0.09199999999999993,0.07399999999999987,0.16199999999999967,0.6599999999999974,607.8767772511849,77.39336492890995,660.431279620853,84.72511848341232,0.12731752194726417
Richmond,0.047000000000000035,0.027000000000000076,0.05499999999999984,0.10999999999999968,0.7609999999999978,302.0981308411215,23.785046728971963,319.39719626168227,25.19626168224299,0.07873284969605099
Roanoke,0.08300000000000003,0.05499999999999985,0.16600000000000006,0.17299999999999946,0.5229999999999992,377.8647342995169,21.183574879227052,390.71014492753625,21.893719806763286,0.056061264670536196
Virginia Beach,0.016999999999999935,0.041000000000000175,0.061999999999999826,0.2020000000000002,0.677999999999998,522.9714285714285,34.457142857142856,551.3952380952381,36.50476190476191,0.06588723776223776
Western Tidewater,0.0069999999999999715,0.048000000000000036,0.17099999999999954,0.20799999999999907,0.5649999999999985,227.09708737864077,22.611650485436893,233.45145631067962,23.16504854368932,0.09956820999529735
